tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0015324	movie	Sherlock Jr.	Sherlock Jr.	0	1924	NA	45	Action,Comedy,Romance
tt0016332	movie	Seven Chances	Seven Chances	0	1925	NA	56	Comedy,Romance
tt0017925	movie	The General	The General	0	1926	NA	67	Action,Adventure,Comedy
tt0019421	movie	Steamboat Bill, Jr.	Steamboat Bill, Jr.	0	1928	NA	70	Action,Comedy,Drama
tt0021156	movie	Morocco	Morocco	0	1930	NA	92	Drama,Romance
tt0022100	movie	M	M - Eine Stadt sucht einen Mörder	0	1931	NA	117	Crime,Mystery,Thriller
tt0022158	movie	Monkey Business	Monkey Business	0	1931	NA	77	Comedy,Musical
tt0023382	movie	Red Dust	Red Dust	0	1932	NA	83	Drama,Romance
tt0023969	movie	Duck Soup	Duck Soup	0	1933	NA	69	Comedy,Musical,War
tt0025316	movie	It Happened One Night	It Happened One Night	0	1934	NA	105	Comedy,Romance
tt0026752	movie	Mutiny on the Bounty	Mutiny on the Bounty	0	1935	NA	132	Adventure,Biography,Drama
tt0026778	movie	A Night at the Opera	A Night at the Opera	0	1935	NA	96	Comedy,Music,Musical
tt0027996	movie	Mr. Deeds Goes to Town	Mr. Deeds Goes to Town	0	1936	NA	115	Comedy,Drama,Romance
tt0028772	movie	A Day at the Races	A Day at the Races	0	1937	NA	111	Comedy,Musical,Sport
tt0029843	movie	The Adventures of Robin Hood	The Adventures of Robin Hood	0	1938	NA	102	Action,Adventure,Romance
tt0029870	movie	Angels with Dirty Faces	Angels with Dirty Faces	0	1938	NA	97	Crime,Drama,Film-Noir
tt0031210	movie	Dark Victory	Dark Victory	0	1939	NA	104	Drama,Romance
tt0031381	movie	Gone with the Wind	Gone with the Wind	0	1939	NA	238	Drama,History,Romance
tt0031867	movie	The Roaring Twenties	The Roaring Twenties	0	1939	NA	106	Crime,Drama,Film-Noir
tt0031983	movie	The Story of Vernon and Irene Castle	The Story of Vernon and Irene Castle	0	1939	NA	93	Biography,Drama,Musical
tt0032138	movie	The Wizard of Oz	The Wizard of Oz	0	1939	NA	102	Adventure,Family,Fantasy
tt0032551	movie	The Grapes of Wrath	The Grapes of Wrath	0	1940	NA	129	Drama,History
tt0032599	movie	His Girl Friday	His Girl Friday	0	1940	NA	92	Comedy,Drama,Romance
tt0032904	movie	The Philadelphia Story	The Philadelphia Story	0	1940	NA	112	Comedy,Romance
tt0032976	movie	Rebecca	Rebecca	0	1940	NA	130	Drama,Mystery,Romance
tt0033238	movie	Waterloo Bridge	Waterloo Bridge	0	1940	NA	108	Drama,Romance,War
tt0033870	movie	The Maltese Falcon	The Maltese Falcon	0	1941	NA	100	Film-Noir,Mystery
tt0034167	movie	Sergeant York	Sergeant York	0	1941	NA	134	Biography,Drama,History
tt0034240	movie	Sullivan's Travels	Sullivan's Travels	0	1941	NA	90	Adventure,Comedy,Drama
tt0034248	movie	Suspicion	Suspicion	0	1941	NA	99	Film-Noir,Mystery,Thriller
tt0034272	movie	That Hamilton Woman	That Hamilton Woman	0	1941	NA	125	Drama,History,Romance
tt0034583	movie	Casablanca	Casablanca	0	1942	NA	102	Drama,Romance,War
tt0034881	movie	I Married a Witch	I Married a Witch	0	1942	NA	77	Comedy,Fantasy,Romance
tt0035140	movie	Now, Voyager	Now, Voyager	0	1942	NA	117	Drama,Romance
tt0035432	movie	This Gun for Hire	This Gun for Hire	0	1942	NA	81	Crime,Drama,Film-Noir
tt0035575	movie	Yankee Doodle Dandy	Yankee Doodle Dandy	0	1942	NA	126	Biography,Drama,Music
tt0035896	movie	For Whom the Bell Tolls	For Whom the Bell Tolls	0	1943	NA	170	Adventure,Drama,History
tt0036613	movie	Arsenic and Old Lace	Arsenic and Old Lace	0	1944	NA	118	Comedy,Crime,Thriller
tt0036723	movie	Cover Girl	Cover Girl	0	1944	NA	107	Comedy,Music,Romance
tt0036855	movie	Gaslight	Gaslight	0	1944	NA	114	Crime,Drama,Mystery
tt0037059	movie	Meet Me in St. Louis	Meet Me in St. Louis	0	1944	NA	113	Comedy,Drama,Family
tt0037382	movie	To Have and Have Not	To Have and Have Not	0	1944	NA	100	Adventure,Comedy,Film-Noir
tt0038109	movie	Spellbound	Spellbound	0	1945	NA	111	Film-Noir,Mystery,Romance
tt0038355	movie	The Big Sleep	The Big Sleep	0	1946	NA	114	Crime,Film-Noir,Mystery
tt0038369	movie	The Blue Dahlia	The Blue Dahlia	0	1946	NA	96	Crime,Film-Noir,Mystery
tt0038559	movie	Gilda	Gilda	0	1946	NA	110	Drama,Film-Noir,Romance
tt0038787	movie	Notorious	Notorious	0	1946	NA	102	Drama,Film-Noir,Romance
tt0039192	movie	Black Narcissus	Black Narcissus	0	1947	NA	101	Drama
tt0039504	movie	Ivy	Ivy	0	1947	NA	99	Crime,Drama,Thriller
tt0040051	tvSeries	Studio One in Hollywood	Studio One	0	1948	1958	60	Drama
tt0040525	movie	The Lady from Shanghai	The Lady from Shanghai	0	1947	NA	87	Crime,Drama,Film-Noir
tt0040536	movie	Letter from an Unknown Woman	Letter from an Unknown Woman	0	1948	NA	87	Drama,Romance
tt0040552	movie	The Loves of Carmen	The Loves of Carmen	0	1948	NA	99	Adventure,Drama,Music
tt0040746	movie	Rope	Rope	0	1948	NA	80	Crime,Drama,Mystery
tt0040806	movie	The Snake Pit	The Snake Pit	0	1948	NA	108	Drama,Mystery
tt0040897	movie	The Treasure of the Sierra Madre	The Treasure of the Sierra Madre	0	1948	NA	126	Adventure,Drama,Western
tt0041038	tvSeries	The Lone Ranger	The Lone Ranger	0	1949	1957	30	Western
tt0041452	movie	The Heiress	The Heiress	0	1949	NA	115	Drama,Romance
tt0041546	movie	Kind Hearts and Coronets	Kind Hearts and Coronets	0	1949	NA	106	Comedy,Crime
tt0041716	movie	On the Town	On the Town	0	1949	NA	98	Comedy,Musical,Romance
tt0041951	tvEpisode	The Tenderfeet	The Tenderfeet	0	1949	NA	30	Western
tt0042041	movie	White Heat	White Heat	0	1949	NA	114	Action,Crime,Drama
tt0042192	movie	All About Eve	All About Eve	0	1950	NA	138	Drama
tt0042279	movie	Branded	Branded	0	1950	NA	104	Action,Adventure,Drama
tt0042816	tvEpisode	Othello	Othello	0	1950	NA	135	Drama
tt0042889	tvEpisode	The Tragedy of King Richard II/II	The Tragedy of King Richard II/II	0	1950	NA	145	Drama
tt0043014	movie	Sunset Blvd.	Sunset Blvd.	0	1950	NA	110	Drama,Film-Noir
tt0043228	tvSeries	Schlitz Playhouse	Schlitz Playhouse of Stars	0	1951	1959	30	Comedy,Drama
tt0043265	movie	The African Queen	The African Queen	0	1951	NA	105	Adventure,Drama,Romance
tt0043278	movie	An American in Paris	An American in Paris	0	1951	NA	114	Drama,Musical,Romance
tt0043338	movie	Ace in the Hole	Ace in the Hole	0	1951	NA	111	Drama,Film-Noir
tt0043426	tvEpisode	Coriolanus	Coriolanus	0	1951	NA	60	Drama
tt0043631	tvEpisode	The Life of King Henry V	The Life of King Henry V	0	1951	NA	133	Drama
tt0043693	tvEpisode	Julius Caesar	Julius Caesar	0	1951	NA	NA	Drama
tt0043710	tvEpisode	The Life and Death of King John	The Life and Death of King John	0	1952	NA	NA	Drama
tt0044081	movie	A Streetcar Named Desire	A Streetcar Named Desire	0	1951	NA	122	Drama
tt0044093	tvEpisode	The Three Musketeers	The Three Musketeers	0	1950	NA	60	Drama
tt0044243	tvSeries	Broadway Television Theatre	Broadway Television Theatre	0	1952	1954	60	Comedy,Drama
tt0044284	tvSeries	Omnibus	Omnibus	0	1952	1961	55	Drama,History,Music
tt0044668	tvEpisode	The Gold Diggers	The Gold Diggers	0	1952	NA	90	Comedy,Drama
tt0044706	movie	High Noon	High Noon	0	1952	NA	85	Drama,Thriller,Western
