tconst	directors	writers
tt0015324	nm0000036	nm0369841,nm0593477,nm0115669
tt0016332	nm0000036	nm0576362,nm0115669,nm0369841,nm0593477
tt0017925	nm0000036,nm0115669	nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548
tt0019421	nm0718469,nm0000036	nm0361882
tt0021156	nm0903049	nm0299154,nm0897109
tt0022100	nm0000485	nm0902376,nm0000485,nm0414825
tt0022158	nm0572851	nm0673279,nm0426953,nm0790654,nm0790383,nm5030661
tt0023382	nm0281808	nm0536941,nm0172812,nm0829330
tt0023969	nm0564970	nm0436095,nm0748438,nm0790654,nm0674759
tt0025316	nm0001008	nm0728307,nm0011343
tt0026752	nm0515979	nm0421255,nm0299154,nm0933133,nm0635079,nm0355681,nm0004290,nm0268513
tt0026778	nm0332539,nm0939992	nm0442151,nm0753452,nm0570130,nm0000036,nm0090213,nm0436095,nm0649183,nm0685265,nm0748438,nm0780833,nm0933133
tt0027996	nm0001008	nm0728307,nm0445502
tt0028772	nm0939992	nm0685265,nm0780833,nm0649183,nm0090213,nm0330390,nm0442151,nm0933133
tt0029843	nm0445033,nm0002031	nm0706993,nm0589316,nm0500284
tt0029870	nm0002031	nm0923333,nm0240417,nm0114602,nm0372942,nm0531269
tt0031210	nm0332539	nm0732452,nm0108108,nm0088602
tt0031381	nm0002030,nm0281808,nm0939992	nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668
tt0031867	nm0909825	nm0907003,nm0531335,nm0744035,nm0375446,nm0049898,nm0231893,nm0923333
tt0031983	nm0693281	nm0792553,nm0358564,nm0949130,nm0145274
tt0032138	nm0503777,nm0281808,nm0002030,nm0851537,nm0861703,nm0896542	nm0486538,nm0753249,nm0941138,nm0000875,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015
tt0032551	nm0000406	nm0425913,nm0825705
tt0032599	nm0001328	nm0496468,nm0372942,nm0531269,nm0753452
tt0032904	nm0002030	nm0829330,nm0058129,nm0759029
tt0032976	nm0000033	nm0238898,nm0792845,nm0365661,nm0531878,nm0389580
tt0033238	nm0503777	nm0067103,nm0254690,nm0296207,nm0792845
tt0033870	nm0001379	nm0001379,nm0358591
tt0034167	nm0001328	nm0277874,nm0151310,nm0462321,nm0001379,nm0948663,nm0804097,nm0184633
tt0034240	nm0002545	nm0002545
tt0034248	nm0000033	nm0710723,nm0365661,nm0720904,nm0075324
tt0034272	nm0466099	nm0281556,nm0792670
tt0034583	nm0002031	nm0258493,nm0258525,nm0462321,nm0122417,nm0019706,nm0732452
tt0034881	nm0163229	nm0685265,nm0175091,nm0810158,nm0559370,nm0163229,nm0726542,nm0874308
tt0035140	nm0710924	nm0732452,nm0698989
tt0035432	nm0878338	nm0540816,nm0122446,nm0001294,nm0878338
tt0035575	nm0002031	nm0118758,nm0430578,nm0258493,nm0258525
tt0035896	nm0939992	nm0629580,nm0002133,nm0111313,nm0534221
tt0036613	nm0001008	nm0258493,nm0258525,nm0450279
tt0036723	nm0896533	nm0888144,nm0663763,nm0304321,nm0312510,nm0434528
tt0036855	nm0002030	nm0886668,nm0281556,nm0049721,nm0358096
tt0037059	nm0591486	nm0106505,nm0277943,nm0072639,nm0373511,nm0525067,nm0556945,nm4251617
tt0037382	nm0001328	nm0002133,nm0299154,nm0001203,nm0010850,nm0150462
tt0038109	nm0000033	nm0372942,nm4465001,nm0534191,nm0739676,nm0761573
tt0038355	nm0001328	nm0001203,nm0102824,nm0299154,nm0151452
tt0038369	nm0550892	nm0151452
tt0038559	nm0896533	nm0254154,nm0252100,nm0663763,nm0372942
