tconst	writers
tt0015324	nm0369841
tt0015324	nm0593477
tt0015324	nm0115669
tt0016332	nm0576362
tt0016332	nm0115669
tt0016332	nm0369841
tt0016332	nm0593477
tt0017925	nm0000036
tt0017925	nm0115669
tt0017925	nm0090213
tt0017925	nm0807667
tt0017925	nm0685904
tt0017925	nm0809548
tt0019421	nm0361882
tt0021156	nm0299154
tt0021156	nm0897109
tt0022100	nm0902376
tt0022100	nm0000485
tt0022100	nm0414825
tt0022158	nm0673279
tt0022158	nm0426953
tt0022158	nm0790654
tt0022158	nm0790383
tt0022158	nm5030661
tt0023382	nm0536941
tt0023382	nm0172812
tt0023382	nm0829330
tt0023969	nm0436095
tt0023969	nm0748438
tt0023969	nm0790654
tt0023969	nm0674759
tt0025316	nm0728307
tt0025316	nm0011343
tt0026752	nm0421255
tt0026752	nm0299154
tt0026752	nm0933133
tt0026752	nm0635079
tt0026752	nm0355681
tt0026752	nm0004290
tt0026752	nm0268513
tt0026778	nm0442151
tt0026778	nm0753452
tt0026778	nm0570130
tt0026778	nm0000036
tt0026778	nm0090213
tt0026778	nm0436095
tt0026778	nm0649183
tt0026778	nm0685265
tt0026778	nm0748438
tt0026778	nm0780833
tt0026778	nm0933133
tt0027996	nm0728307
tt0027996	nm0445502
tt0028772	nm0685265
tt0028772	nm0780833
tt0028772	nm0649183
tt0028772	nm0090213
tt0028772	nm0330390
tt0028772	nm0442151
tt0028772	nm0933133
tt0029843	nm0706993
tt0029843	nm0589316
tt0029843	nm0500284
tt0029870	nm0923333
tt0029870	nm0240417
tt0029870	nm0114602
tt0029870	nm0372942
tt0029870	nm0531269
tt0031210	nm0732452
tt0031210	nm0108108
tt0031210	nm0088602
tt0031381	nm0593565
tt0031381	nm0397608
tt0031381	nm0308177
tt0031381	nm0372942
tt0031381	nm0842485
tt0031381	nm0886668
tt0031867	nm0907003
tt0031867	nm0531335
tt0031867	nm0744035
tt0031867	nm0375446
tt0031867	nm0049898
tt0031867	nm0231893
tt0031867	nm0923333
tt0031983	nm0792553
tt0031983	nm0358564
tt0031983	nm0949130
tt0031983	nm0145274
tt0032138	nm0486538
tt0032138	nm0753249
tt0032138	nm0941138
tt0032138	nm0000875
tt0032138	nm0006085
tt0032138	nm0106505
tt0032138	nm0134284
tt0032138	nm0276252
tt0032138	nm0355095
tt0032138	nm0361971
tt0032138	nm0388755
tt0032138	nm0481618
tt0032138	nm0536941
tt0032138	nm0542534
tt0032138	nm0591774
tt0032138	nm0621790
tt0032138	nm0685265
tt0032138	nm0780833
tt0032138	nm0799015
tt0032551	nm0425913
tt0032551	nm0825705
tt0032599	nm0496468
tt0032599	nm0372942
tt0032599	nm0531269
tt0032599	nm0753452
tt0032904	nm0829330
tt0032904	nm0058129
tt0032904	nm0759029
tt0032976	nm0238898
tt0032976	nm0792845
tt0032976	nm0365661
tt0032976	nm0531878
tt0032976	nm0389580
tt0033238	nm0067103
tt0033238	nm0254690
tt0033238	nm0296207
tt0033238	nm0792845
tt0033870	nm0001379
tt0033870	nm0358591
tt0034167	nm0277874
tt0034167	nm0151310
tt0034167	nm0462321
tt0034167	nm0001379
tt0034167	nm0948663
tt0034167	nm0804097
tt0034167	nm0184633
tt0034240	nm0002545
tt0034248	nm0710723
tt0034248	nm0365661
tt0034248	nm0720904
tt0034248	nm0075324
tt0034272	nm0281556
tt0034272	nm0792670
tt0034583	nm0258493
tt0034583	nm0258525
tt0034583	nm0462321
tt0034583	nm0122417
